System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
GPT-3.5,1.0,0.38,,,0.841,0.411,0.664
GPT-4,1.0,0.696,,,0.9,0.492,0.742
"Chunk 2000, overlap 5%",0.4,0.929,0.829,0.633,0.801,0.873,0.744
"Chunk 2000, overlap 15%",0.785,0.955,0.653,0.75,0.889,0.543,0.763
"Chunk size 1000, 0%, K=7",0.911,0.826,0.636,0.884,0.913,0.522,0.782
"Chunk 3000, overlap 20%",0.51,0.751,0.939,0.654,0.742,0.859,0.743
Search query,0.741,0.796,0.454,0.999,0.613,0.706,0.718
"Ensambler 3, GPT-4",0.905,0.602,0.892,0.888,0.677,0.808,0.796
"Chunk 1000, overlap 0%, GPT-4",0.726,0.913,0.608,0.913,0.891,0.592,0.774
